Population Size,Crossover Type,Mutation Rate,Best Solution,Best Fitness
50,one-point,0.01,[0 0 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0],183056042609985.7
50,one-point,0.05,[1 1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1],183055114016901.38
50,one-point,0.1,[1 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1],183055751357802.25
50,two-point,0.01,[0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 1 0],183055637319332.72
50,two-point,0.05,[0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0],183056754850493.0
50,two-point,0.1,[0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1],183056191889185.16
100,one-point,0.01,[0 0 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1],183056797550767.4
100,one-point,0.05,[1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0],183056648785119.97
100,one-point,0.1,[1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0],183056823611302.97
100,two-point,0.01,[0 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0],183056903446046.12
100,two-point,0.05,[0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1],183056810295057.84
100,two-point,0.1,[1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 0 0 1 1],183056850744051.94
200,one-point,0.01,[0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 0],183056325439373.7
200,one-point,0.05,[1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1],183056778461810.38
200,one-point,0.1,[1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1],183056314386258.97
200,two-point,0.01,[1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 0 0 0 1],183056822982386.1
200,two-point,0.05,[0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0],183056873285086.7
200,two-point,0.1,[0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 0 1 0],183056862561361.44
